Benchmark,TRIUMF-TPU1,TRIUMF-TPU2,CHIP IR
vit_base_16_edgetpu,205.6784274,202.6198987,260
vit_base_8_edgetpu,45.6535682,49.35973769,48.95
conv1k,34.38134047,37.01799851,30
main_block_from_image_v16,53.81338015,46.63315419,27.18
main_block_from_image_v8,21.05095616,17.88740229,7.16
mha_from_image_v16,28.27094498,23.88356714,14.02
mha_from_image_v8,14.72196128,7.754947552,5.11
patch_encoding_v16,10.97018139,8.124016477,5.26
patch_encoding_v8,7.873575124,8.202050824,4.49
simple_conv1k,9.938267442,16.75772647,12
